Key,Id,English(en),Dutch(nl),Chinese (Simplified)(zh-Hans),Finnish(fi),French(fr),German(de),Hungarian(hu),Japanese(ja),Portuguese(pt),Russian(ru),Spanish(es)
MainMenu_CTA1,619279732736,Press [SPACE] To Start,Druk [Spatie] Om Te Beginnen,按 [空格] 开始,Aloita painamalla [VÄLILYÖNTI],Appuyez sur [ESPACE] pour démarrer,Drücken Sie zum Starten die Leertaste,Nyomd Meg A [Szóközt ] A Kezdéshez,[スペース] を押して開始します,Pressione [ESPAÇO] para começar,"Нажмите [ПРОБЕЛ], чтобы начать",Presione [ESPACIO] para comenzar
MainMenu_CTA2,3874107887374336,Or Tap this Text,Of Druk Op De Text,或点击此文本,Tai Napauta tätä tekstiä,Ou appuyez sur ce texte,Oder tippen Sie auf diesen Text,Vagy Kattints Erre A Szövegre,または、このテキストをタップします,Ou toque neste texto,Или нажмите на этот текст,O toca este texto
MainMenu_CAT_UXUI,5069660927217664,UX/UI,UX/UI,用户体验/用户界面,UX/UI,UX/UI,UX/UI,UX/UI,UX/UI,UX/IU,UX/UI,experiencia de usuario/interfaz de usuario
MainMenu_CAT_3D,5069884622032896,3D art,3D art,3D艺术,3D-taide,art 3D,3D-Kunst,3D Művészet,3Dアート,Arte 3D,3D искусство,arte 3D
MainMenu_CAT_Programming,5069911146811392,Programming,Programmeren,编程,Ohjelmointi,Programmation,Programmierung,Programozas,プログラミング,Programação,Программирование,Programación
MainMenu_CAT_VFX,5069963374284800,VFX,VFX,视觉特效,VFX,Effets visuels,VFX,VFX,ビジュアルエフェクト,Efeitos visuais,визуальные эффекты,efectos visuales
MainMenu_CAT_Profile,5069980549959680,Profile,Profiel,轮廓,Profiili,Profil,Profil,Profil,プロフィール,Perfil,Профиль,Perfil
MainMenu_CAT_Contact,5070011373899776,Contact,Contact,接触,Ota yhteyttä,Contact,Kontakt,Kapcsolat,接触,Contato,Контакт,Contacto
LoadingBar_SkippableCutscene,5601005554290688,Skippable Cutscene,Over te slaan Cutscene,可跳过的过场动画,Ohitettava leikkauskohta,Cinématique désactivable,Überspringbare Zwischensequenz,Kihagyható átvezető,スキップ可能なカットシーン,Cena pulável,Пропускаемый ролик,Escena saltable
LoadingBar_PressHereToSkip,5601134415892480,Press Here To Skip,Klik hier om te Skippen,按此处跳过,Ohita painamalla tästä,Appuyez ici pour sauter,"Klicken Sie hier, um zu überspringen",Kihagyás itt,ここを押してスキップしてください,Pressione aqui para pular,"Нажмите здесь, чтобы пропустить",Presione aquí para saltar
